Data,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,WeightedAveragePrice,Previous Year Stores,Previous Year Average Weighted Price
10/23/2020,NATIONAL,FRUITS,APPLE PEARS,,,,each,150,0.8,5,0.99
10/23/2020,NATIONAL,FRUITS,APPLE PEARS,,Y,,each,7,3.99,,
10/23/2020,NATIONAL,FRUITS,APPLES,BRAEBURN,,,3 lb bag,6,4.99,,
10/23/2020,NATIONAL,FRUITS,APPLES,FUJI,,,per pound,"3,698",1.23,"2,434",1.19
10/23/2020,NATIONAL,FRUITS,APPLES,GALA,Y,,2 lb bag,857,3.52,"1,093",3.43
10/23/2020,NATIONAL,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,518,1.23,659,1.08
10/23/2020,NATIONAL,FRUITS,APPLES,GOLDEN DELICIOUS,Y,,per pound,197,2.06,60,1.99
10/23/2020,NATIONAL,FRUITS,APPLES,GRANNY SMITH,,,3 lb bag,"1,303",3.57,"1,099",3.64
10/23/2020,NATIONAL,FRUITS,APPLES,GRANNY SMITH,Y,,per pound,914,1.86,476,2.09
10/23/2020,NATIONAL,FRUITS,APPLES,HONEYCRISP,,,per pound,"6,051",1.76,"5,105",1.71
10/23/2020,NATIONAL,FRUITS,APPLES,HONEYCRISP,Y,,2 lb bag,50,5.13,100,4.27
10/23/2020,NATIONAL,FRUITS,APPLES,HONEYCRISP,Y,,per pound,"1,872",2.95,817,2.46
10/23/2020,NATIONAL,FRUITS,APPLES,JONAGOLD,,,3 lb bag,126,2.95,61,2.7
10/23/2020,NATIONAL,FRUITS,APPLES,JONATHAN,,,3 lb bag,308,2.78,302,2.99
10/23/2020,NATIONAL,FRUITS,APPLES,MCINTOSH,,,per pound,579,1,"1,022",1.14
10/23/2020,NATIONAL,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,per pound,283,1.81,128,1.67
10/23/2020,NATIONAL,FRUITS,APPLES,RED DELICIOUS,,,2 lb bag,357,1.28,61,2
10/23/2020,NATIONAL,FRUITS,APPLES,RED DELICIOUS,Y,,per pound,86,2.42,154,1.99
10/23/2020,NATIONAL,FRUITS,APPLES,ROME,,,3 lb bag,130,2.62,43,2.99
10/23/2020,NATIONAL,FRUITS,AVOCADOS,HASS,,,per pound,225,0.74,,
